time,elapsed_s,front_area,effective_area,predicted_area,pred_conf,front_stale,side_detected,side_pred_conf,edge_edge_factor,last_throttle,throttle
2026-06-07T20:15:58,1780834558.637,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:58,1780834558.954,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.053,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.128,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.215,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.302,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.388,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.475,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.549,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.636,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.724,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.811,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:15:59,1780834559.910,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.009,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.096,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.196,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.282,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.382,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.481,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.568,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.662,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.675,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.762,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.848,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:00,1780834560.948,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:01,1780834561.047,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:01,1780834561.147,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:01,1780834561.247,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:01,1780834561.346,4511.500,4511.500,4511.500,0.150,0,1,0.153,0.000,0.000,0.000
2026-06-07T20:16:01,1780834561.433,4308.625,4308.625,4308.625,0.150,0,1,0.218,0.326,0.000,0.000
2026-06-07T20:16:01,1780834561.527,4131.469,4131.469,4131.469,0.154,0,1,0.208,0.387,0.000,0.000
2026-06-07T20:16:01,1780834561.609,4186.102,4186.102,4186.102,0.150,0,1,0.196,0.468,0.000,0.000
2026-06-07T20:16:01,1780834561.691,4227.076,4227.076,4227.076,0.150,0,1,0.230,0.565,0.000,0.000
2026-06-07T20:16:01,1780834561.773,4195.307,4195.307,4195.307,0.150,0,1,0.150,0.627,0.000,0.000
2026-06-07T20:16:01,1780834561.855,4221.480,4221.480,4221.480,0.150,0,1,0.150,0.690,0.000,0.000
